,Year,Host,Total teams,Total games,Home goals,Away goals,Total goals
Paraguay,5,3,2,0,23,15,8
Italy,4,3,1,0,14,7,7
Mozambique,3,0,3,0,7,22,-15
Australia,3,1,2,0,5,16,-11
Ukraine,4,2,2,0,8,7,1
Brazil,4,3,1,0,31,8,23
Solomon Islands,3,0,3,0,5,21,-16
Costa Rica,4,1,2,1,7,11,-4
Argentina,7,6,0,1,26,11,15
Kazakhstan,4,2,2,0,15,7,8
Morocco,3,0,3,0,6,14,-8
Azerbaijan,5,2,2,1,25,18,7
Iran,7,4,2,1,23,23,0
Spain,5,4,1,0,20,14,6
